iter	Logloss
136	0.129654399
137	0.1296321506
138	0.1296162182
139	0.1295999618
140	0.1295999381
141	0.1295813023
142	0.1295602331
143	0.129560135
144	0.1295480248
145	0.1295376242
146	0.1295376242
147	0.1295230663
148	0.1295028691
149	0.1294951869
150	0.1294769032
151	0.1294654046
152	0.1294464857
153	0.12943191
154	0.1294224091
155	0.1294135693
156	0.1294024206
157	0.1293896856
158	0.1293896339
159	0.1293828926
160	0.1293688748
161	0.1293483103
162	0.1293287411
163	0.1293118112
164	0.1292957451
165	0.1292742886
166	0.1292598781
167	0.1292358187
168	0.1292219891
169	0.1292083889
170	0.1291959247
171	0.1291864376
172	0.1291645159
173	0.1291560567
174	0.1291348944
175	0.1291159402
176	0.1291014789
177	0.1290873838
178	0.129074805
179	0.1290606028
180	0.1290499156
181	0.1290331561
182	0.129017068
183	0.1290013613
184	0.1289902859
185	0.1289713811
186	0.1289558982
187	0.1289378877
188	0.1289228249
189	0.1289067935
190	0.128897739
191	0.128883514
192	0.1288673246
193	0.1288418218
194	0.1288185918
195	0.1287943378
196	0.1287847963
197	0.1287721594
198	0.1287573699
199	0.1287361447
200	0.1287259246
201	0.1287087161
202	0.1286962985
203	0.1286835213
204	0.1286713533
205	0.128658074
206	0.1286364997
207	0.1286284704
208	0.1286217683
209	0.1286127376
210	0.1285988887
211	0.1285903116
212	0.1285730843
213	0.1285604855
214	0.1285519798
215	0.1285300318
216	0.1285236204
217	0.1285090868
218	0.1284986202
219	0.1284883081
220	0.1284763126
221	0.1284566084
222	0.1284351026
223	0.1284127978
224	0.1284031279
225	0.1283865033
226	0.1283674532
227	0.1283563374
228	0.1283513272
229	0.1283328533
230	0.1283175903
231	0.1283035591
232	0.1282884595
233	0.1282722032
234	0.1282510524
235	0.1282349506
236	0.1282217122
237	0.128203732
238	0.1281810926
239	0.1281673698
240	0.1281467502
241	0.1281299261
242	0.1281031166
243	0.1280845123
244	0.1280776005
245	0.1280584749
246	0.1280402634
247	0.1280310552
248	0.1280174378
249	0.1280129057
250	0.1280022735
251	0.1279875712
252	0.1279751196
253	0.1279597604
254	0.1279476285
255	0.1279380532
256	0.1279216406
257	0.1279146825
258	0.1279000038
259	0.1278941023
260	0.127883849
261	0.1278693785
262	0.1278608944
263	0.1278421479
264	0.127836482
265	0.1278304382
266	0.1278179777
267	0.1277972484
268	0.1277816635
269	0.1277656773
270	0.1277556461
271	0.1277393907
272	0.1277270098
273	0.1277193212
274	0.1277062841
275	0.1276897285
276	0.1276758318
277	0.1276594622
278	0.1276452603
279	0.1276341754
280	0.1276120636
281	0.1275953078
282	0.1275695274
283	0.1275590161
284	0.1275516613
285	0.1275447091
286	0.1275377011
287	0.1275201814
288	0.127508292
289	0.1274929118
290	0.1274781898
291	0.1274695623
292	0.1274559741
293	0.1274418264
294	0.1274367785
295	0.1274235291
296	0.1274135046
297	0.1274009547
298	0.1273882876
299	0.1273755329
300	0.1273553704
301	0.1273388005
302	0.1273228282
303	0.1273109146
304	0.1273011913
305	0.1272910693
306	0.127278571
307	0.1272628616
308	0.1272473495
309	0.1272386533
310	0.1272252254
311	0.1272134195
312	0.1272040767
313	0.1271911173
314	0.1271701141
315	0.1271564149
316	0.127148411
317	0.127135123
318	0.1271191668
319	0.1271065122
320	0.1270949839
321	0.1270847353
322	0.1270761599
323	0.1270635785
324	0.1270530111
325	0.127039035
326	0.1270271525
327	0.1270183098
328	0.1270067972
329	0.1269895474
330	0.1269817026
331	0.1269753209
332	0.1269612677
333	0.126947673
334	0.1269367943
335	0.1269249661
336	0.1269123154
337	0.1268991483
338	0.1268927278
339	0.1268686675
340	0.1268466471
341	0.1268240927
342	0.1268239701
343	0.1268240748
344	0.1268239043
345	0.126823864
346	0.126823864
347	0.126823864
348	0.126823864
349	0.126823864
350	0.126823864
351	0.126823864
352	0.126823864
353	0.126823864
354	0.126823864
355	0.126823864
356	0.126823864
357	0.126823864
358	0.126823864
359	0.126823864
360	0.126823864
361	0.126823864
362	0.126823864
363	0.126823864
364	0.126823864
365	0.126823864
366	0.126823864
367	0.126823864
368	0.126823864
369	0.126823864
370	0.126823864
371	0.126823864
372	0.126823864
373	0.126823864
374	0.126823864
375	0.126823864
376	0.126823864
377	0.126823864
378	0.126823864
379	0.126823864
380	0.126823864
381	0.126823864
382	0.126823864
383	0.126823864
384	0.126823864
385	0.126823864
386	0.126823864
387	0.126823864
388	0.126823864
389	0.126823864
390	0.126823864
391	0.126823864
392	0.126823864
393	0.126823864
394	0.126823864
395	0.126823864
396	0.126823864
397	0.126823864
398	0.126823864
399	0.126823864
400	0.126823864
401	0.126823864
402	0.126823864
403	0.126823864
404	0.126823864
405	0.126823864
406	0.126823864
407	0.126823864
408	0.126823864
409	0.126823864
410	0.126823864
411	0.126823864
412	0.126823864
413	0.126823864
414	0.126823864
415	0.126823864
416	0.126823864
417	0.126823864
418	0.126823864
419	0.126823864
420	0.126823864
421	0.126823864
422	0.126823864
423	0.126823864
424	0.126823864
425	0.126823864
426	0.126823864
427	0.126823864
428	0.126823864
429	0.126823864
430	0.126823864
431	0.126823864
432	0.126823864
433	0.126823864
434	0.126823864
435	0.126823864
436	0.126823864
437	0.126823864
438	0.126823864
439	0.126823864
440	0.126823864
441	0.126823864
442	0.126823864
443	0.126823864
444	0.126823864
445	0.126823864
446	0.126823864
447	0.126823864
448	0.126823864
449	0.126823864
450	0.126823864
451	0.126823864
452	0.126823864
453	0.126823864
454	0.126823864
455	0.126823864
456	0.126823864
457	0.126823864
458	0.126823864
459	0.126823864
460	0.126823864
461	0.126823864
462	0.126823864
463	0.126823864
464	0.126823864
465	0.126823864
466	0.126823864
467	0.126823864
468	0.126823864
469	0.126823864
470	0.126823864
471	0.126823864
472	0.126823864
473	0.126823864
474	0.126823864
475	0.126823864
476	0.126823864
477	0.126823864
478	0.126823864
479	0.126823864
480	0.126823864
481	0.126823864
482	0.126823864
483	0.126823864
484	0.126823864
485	0.126823864
486	0.126823864
487	0.126823864
488	0.126823864
489	0.126823864
490	0.126823864
491	0.126823864
492	0.126823864
493	0.126823864
494	0.126823864
495	0.126823864
496	0.126823864
497	0.126823864
498	0.126823864
499	0.126823864
500	0.126823864
501	0.126823864
502	0.126823864
503	0.126823864
504	0.126823864
505	0.126823864
506	0.126823864
507	0.126823864
508	0.126823864
509	0.126823864
510	0.126823864
511	0.126823864
512	0.126823864
513	0.126823864
514	0.126823864
515	0.126823864
516	0.126823864
517	0.126823864
518	0.126823864
519	0.126823864
520	0.126823864
521	0.126823864
522	0.126823864
523	0.126823864
524	0.126823864
525	0.126823864
526	0.126823864
527	0.126823864
528	0.126823864
529	0.126823864
530	0.126823864
531	0.126823864
532	0.126823864
533	0.126823864
534	0.126823864
535	0.126823864
536	0.126823864
537	0.126823864
538	0.126823864
539	0.126823864
540	0.126823864
541	0.126823864
542	0.126823864
543	0.126823864
544	0.126823864
545	0.126823864
546	0.126823864
547	0.126823864
548	0.126823864
549	0.126823864
550	0.126823864
551	0.126823864
552	0.126823864
553	0.126823864
554	0.126823864
555	0.126823864
556	0.126823864
557	0.126823864
558	0.126823864
559	0.126823864
560	0.126823864
561	0.126823864
562	0.126823864
563	0.126823864
564	0.126823864
565	0.126823864
566	0.126823864
567	0.126823864
568	0.126823864
569	0.126823864
570	0.126823864
571	0.126823864
572	0.126823864
573	0.126823864
574	0.126823864
575	0.126823864
576	0.126823864
577	0.126823864
578	0.126823864
579	0.126823864
580	0.126823864
581	0.126823864
582	0.126823864
583	0.126823864
584	0.126823864
585	0.126823864
586	0.126823864
587	0.126823864
588	0.126823864
589	0.126823864
590	0.126823864
591	0.126823864
592	0.126823864
593	0.126823864
594	0.126823864
595	0.126823864
596	0.126823864
597	0.126823864
598	0.126823864
599	0.126823864
600	0.126823864
601	0.126823864
602	0.126823864
603	0.126823864
604	0.126823864
605	0.126823864
606	0.126823864
607	0.126823864
608	0.126823864
609	0.126823864
610	0.126823864
611	0.126823864
612	0.126823864
613	0.126823864
614	0.126823864
615	0.126823864
616	0.126823864
617	0.126823864
618	0.126823864
619	0.126823864
620	0.126823864
621	0.126823864
622	0.126823864
623	0.126823864
624	0.126823864
625	0.126823864
626	0.126823864
627	0.126823864
628	0.126823864
629	0.126823864
630	0.126823864
631	0.126823864
632	0.126823864
633	0.126823864
634	0.126823864
635	0.126823864
636	0.126823864
637	0.126823864
638	0.126823864
639	0.126823864
640	0.126823864
641	0.126823864
642	0.126823864
643	0.126823864
644	0.126823864
645	0.126823864
646	0.126823864
647	0.126823864
648	0.126823864
649	0.126823864
650	0.126823864
651	0.126823864
652	0.126823864
653	0.126823864
654	0.126823864
655	0.126823864
656	0.126823864
657	0.126823864
658	0.126823864
659	0.126823864
660	0.126823864
661	0.126823864
662	0.126823864
663	0.126823864
664	0.126823864
665	0.126823864
666	0.126823864
667	0.126823864
668	0.126823864
669	0.126823864
670	0.126823864
671	0.126823864
672	0.126823864
673	0.126823864
674	0.126823864
675	0.126823864
676	0.126823864
677	0.126823864
678	0.126823864
679	0.126823864
680	0.126823864
681	0.126823864
682	0.126823864
683	0.126823864
684	0.126823864
685	0.126823864
686	0.126823864
687	0.126823864
688	0.126823864
689	0.126823864
690	0.126823864
691	0.126823864
692	0.126823864
693	0.126823864
694	0.126823864
695	0.126823864
696	0.126823864
697	0.126823864
698	0.126823864
699	0.126823864
700	0.126823864
701	0.126823864
702	0.126823864
703	0.126823864
704	0.126823864
705	0.126823864
706	0.126823864
707	0.126823864
708	0.126823864
709	0.126823864
710	0.126823864
711	0.126823864
712	0.126823864
713	0.126823864
714	0.126823864
715	0.126823864
716	0.126823864
717	0.126823864
718	0.126823864
719	0.126823864
720	0.126823864
721	0.126823864
722	0.126823864
723	0.126823864
724	0.126823864
725	0.126823864
726	0.126823864
727	0.126823864
728	0.126823864
729	0.126823864
730	0.126823864
731	0.126823864
732	0.126823864
733	0.126823864
734	0.126823864
735	0.126823864
736	0.126823864
737	0.126823864
738	0.126823864
739	0.126823864
740	0.126823864
741	0.126823864
742	0.126823864
743	0.126823864
744	0.126823864
745	0.126823864
746	0.126823864
747	0.126823864
748	0.126823864
749	0.126823864
750	0.126823864
751	0.126823864
752	0.126823864
753	0.126823864
754	0.126823864
755	0.126823864
756	0.126823864
757	0.126823864
758	0.126823864
759	0.126823864
760	0.126823864
761	0.126823864
762	0.126823864
763	0.126823864
764	0.126823864
765	0.126823864
766	0.126823864
767	0.126823864
768	0.126823864
769	0.126823864
770	0.126823864
771	0.126823864
772	0.126823864
773	0.126823864
774	0.126823864
775	0.126823864
776	0.126823864
777	0.126823864
778	0.126823864
779	0.126823864
780	0.126823864
781	0.126823864
782	0.126823864
783	0.126823864
784	0.126823864
785	0.126823864
786	0.126823864
787	0.126823864
788	0.126823864
789	0.126823864
790	0.126823864
791	0.126823864
792	0.126823864
793	0.126823864
794	0.126823864
795	0.126823864
796	0.126823864
797	0.126823864
798	0.126823864
799	0.126823864
800	0.126823864
801	0.126823864
802	0.126823864
803	0.126823864
804	0.126823864
805	0.126823864
806	0.126823864
807	0.126823864
808	0.126823864
809	0.126823864
810	0.126823864
811	0.126823864
812	0.126823864
813	0.126823864
814	0.126823864
815	0.126823864
816	0.126823864
817	0.126823864
818	0.126823864
819	0.126823864
820	0.126823864
821	0.126823864
822	0.126823864
823	0.126823864
824	0.126823864
825	0.126823864
826	0.126823864
827	0.126823864
828	0.126823864
829	0.126823864
830	0.126823864
831	0.126823864
832	0.126823864
833	0.126823864
834	0.126823864
835	0.126823864
836	0.126823864
837	0.126823864
838	0.126823864
839	0.126823864
840	0.126823864
841	0.126823864
842	0.126823864
843	0.126823864
844	0.126823864
845	0.126823864
846	0.126823864
847	0.126823864
848	0.126823864
849	0.126823864
850	0.126823864
851	0.126823864
852	0.126823864
853	0.126823864
854	0.126823864
855	0.126823864
856	0.126823864
857	0.126823864
858	0.126823864
859	0.126823864
860	0.126823864
861	0.126823864
862	0.126823864
863	0.126823864
864	0.126823864
865	0.126823864
866	0.126823864
867	0.126823864
868	0.126823864
869	0.126823864
870	0.126823864
871	0.126823864
872	0.126823864
873	0.126823864
874	0.126823864
875	0.126823864
876	0.126823864
877	0.126823864
878	0.126823864
879	0.126823864
880	0.126823864
881	0.126823864
882	0.126823864
883	0.126823864
884	0.126823864
885	0.126823864
886	0.126823864
887	0.126823864
888	0.126823864
889	0.126823864
890	0.126823864
891	0.126823864
892	0.126823864
893	0.126823864
894	0.126823864
895	0.126823864
896	0.126823864
897	0.126823864
898	0.126823864
899	0.126823864
900	0.126823864
901	0.126823864
902	0.126823864
903	0.126823864
904	0.126823864
905	0.126823864
906	0.126823864
907	0.126823864
908	0.126823864
909	0.126823864
910	0.126823864
911	0.126823864
912	0.126823864
913	0.126823864
914	0.126823864
915	0.126823864
916	0.126823864
917	0.126823864
918	0.126823864
919	0.126823864
920	0.126823864
921	0.126823864
922	0.126823864
923	0.126823864
924	0.126823864
925	0.126823864
926	0.126823864
927	0.126823864
928	0.126823864
929	0.126823864
930	0.126823864
931	0.126823864
932	0.126823864
933	0.126823864
934	0.126823864
935	0.126823864
936	0.126823864
937	0.126823864
938	0.126823864
939	0.126823864
940	0.126823864
941	0.126823864
942	0.126823864
943	0.126823864
944	0.126823864
945	0.126823864
946	0.126823864
947	0.126823864
948	0.126823864
949	0.126823864
950	0.126823864
951	0.126823864
952	0.126823864
953	0.126823864
954	0.126823864
955	0.126823864
956	0.126823864
957	0.126823864
958	0.126823864
959	0.126823864
960	0.126823864
961	0.126823864
962	0.126823864
963	0.126823864
964	0.126823864
965	0.126823864
966	0.126823864
967	0.126823864
968	0.126823864
969	0.126823864
970	0.126823864
971	0.126823864
972	0.126823864
973	0.126823864
974	0.126823864
975	0.126823864
976	0.126823864
977	0.126823864
978	0.126823864
979	0.126823864
980	0.126823864
981	0.126823864
982	0.126823864
983	0.126823864
984	0.126823864
985	0.126823864
986	0.126823864
987	0.126823864
988	0.126823864
989	0.126823864
990	0.126823864
991	0.126823864
992	0.126823864
993	0.126823864
994	0.126823864
995	0.126823864
996	0.126823864
997	0.126823864
998	0.126823864
999	0.126823864
